station_name,pollution_score_mean,lines_affected,station_id_list,latitude,longitude,avg_passages
Bagneux - Lucie Aubrac,1.0,Métro 4,IDFM:483314,48.80354822259104,2.317458362049886,87.61904761904762
Balard,2.0,Métro 8,IDFM:463051,48.83665079228612,2.278509358807,33.361111111111114
Barbara,1.0,Métro 4,IDFM:483277,48.80946338671965,2.3169588198268345,46.4375
Barbès - Rochechouart,1.0,Métro 4,IDFM:22130,48.88377608955688,2.3506070793550977,35.399253731343286
Basilique de Saint-Denis,2.0,Métro 13,IDFM:22240,48.93678306532419,2.3592958408126816,39.325581395348834
Bastille,2.0,"Métro 1, Métro 5, Métro 8","IDFM:463019, IDFM:22010, IDFM:22097",48.85328747830434,2.368922075646989,44.74035087719298
Belleville,2.5,"Métro 11, Métro 2","IDFM:463110, IDFM:22128",48.87190897536768,2.376753738418521,31.902564102564103
Bercy,1.5,"Métro 6, Métro 14","IDFM:22178, IDFM:463129",48.84014763512746,2.3791909087742877,94.14150943396227
Bibliothèque François Mitterrand,1.0,"Métro 14, RER C","IDFM:463112, IDFM:monomodalStopPlace:45301",48.8300063775369,2.3764237443204546,47.61153846153846
Billancourt,2.0,Métro 9,IDFM:463035,48.83228510682582,2.238735846203688,39.56989247311828
Blanche,2.0,Métro 2,IDFM:463113,48.88352666803642,2.3330465396910984,32.09326424870466
Bobigny Pablo Picasso,2.0,Métro 5,IDFM:463131,48.906844775004565,2.449595046900673,21.04722222222222
Bobigny-Pantin - Raymond Queneau,2.0,Métro 5,IDFM:22014,48.89560207433252,2.426308679232036,72.88372093023256
Boissière,2.0,Métro 6,IDFM:463114,48.68961284032983,2.1785896871036674,34.93037974683544
Bolivar,2.0,Métro 7B,IDFM:463132,48.88078966297506,2.374124871187542,23.59090909090909
Bonne Nouvelle,2.0,"Métro 8, Métro 9","IDFM:463115, IDFM:463133",48.8706433160169,2.3484940979375373,78.64285714285714
Botzaris,2.0,Métro 7B,IDFM:463134,48.87943610160117,2.388908111185046,23.53416149068323
Boucicaut,1.0,Métro 8,IDFM:22188,48.841024160993214,2.2879184311245595,54.48192771084337
Boulainvilliers,2.0,RER C,IDFM:monomodalStopPlace:45453,48.856981095562965,2.274806827480264,51.55
Boulogne Jean Jaurès,2.0,Métro 10,IDFM:463137,48.842063301935575,2.239042669312605,39.46511627906977
Boulogne Pont de Saint-Cloud,2.0,Métro 10,IDFM:463136,48.84067248206251,2.2283125898228056,39.46511627906977
Bourse,2.0,Métro 3,IDFM:22033,48.86879284393317,2.340678546975881,29.90066225165563
Brochant,1.0,Métro 13,IDFM:22231,48.891138075982674,2.320797236953444,36.05357142857143
Bréguet-Sabin,2.0,Métro 5,IDFM:22008,48.85441809233289,2.3718521849492413,12.294117647058824
Bussy-Saint-Georges,1.0,RER A,IDFM:monomodalStopPlace:58874,48.83671337078136,2.710382839509696,85.57142857142857
Buttes Chaumont,2.0,Métro 7B,IDFM:24683,48.87849908839857,2.381569842088008,18.535714285714285
Buzenval,2.0,Métro 9,IDFM:463039,48.91624769567262,2.178737957860779,26.625
Bérault,1.0,Métro 1,IDFM:463130,48.84540614839331,2.4292049740990573,92.65116279069767
Cadet,1.0,Métro 7,IDFM:463139,48.87596328507557,2.344446309702274,33.838235294117645
Campo-Formio,2.0,Métro 5,IDFM:22009,48.83559543123327,2.358468834639247,73.09302325581395
Cardinal Lemoine,2.0,Métro 10,IDFM:463141,48.84670003526311,2.3513280016731763,28.576576576576578
Carrefour Pleyel,1.0,Métro 13,IDFM:462976,48.91980854982986,2.343443653352174,24.36
Censier - Daubenton,2.0,Métro 7,IDFM:22391,48.84022624851393,2.351626572605499,34.58015267175573
Cergy Préfecture,2.0,RER A,IDFM:monomodalStopPlace:44559,49.036306683133965,2.0797809490013077,41.05555555555556
Cergy le Haut,2.0,RER A,IDFM:monomodalStopPlace:43104,49.04823262405815,2.011579068023536,37.8974358974359
Champ de Mars Tour Eiffel,2.0,RER C,IDFM:monomodalStopPlace:58757,48.8564765666592,2.289656249386548,138.55
Champs-Elysées - Clemenceau,1.0,"Métro 1, Métro 13","IDFM:22090, IDFM:22093",48.86758395955256,2.314397292025236,45.78743961352657
Chardon Lagache,1.0,Métro 10,IDFM:21985,48.84508829917885,2.26690547594029,40.76190476190476
Charenton - Ecoles,2.0,Métro 8,IDFM:22210,48.82125590204953,2.413847237068526,50.03260869565217
Charles Michels,2.0,Métro 10,IDFM:21986,48.94845218204794,2.209550844181164,19.492385786802032
